# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_2	cds	13042	13776	+	FGOHFL_015	436.0	3.8e-154	1.0	1.012	0.893	UniRef:UniRef90_A0A4R2N425
contig_2	cds	13779	14201	+	FGOHFL_016	237.0	1.5e-78	1.0	1.0	0.857	UniRef:UniRef90_A0A7X0UB35
contig_2	cds	14300	15811	-	FGOHFL_017	906.0	0.0	0.988	1.002	0.913	UniRef:UniRef90_UPI0004810394
contig_2	cds	15882	16679	-	FGOHFL_018	477.0	2.1e-169	1.0	1.0	0.936	UniRef:UniRef90_UPI000485B78C
contig_3	cds	172	1035	+	FGOHFL_019	343.0	1.5e-115	0.930	0.893	0.622	UniRef:UniRef90_A0A4Y5ULY1
contig_4	cds	169	1290	-	FGOHFL_020	621.0	3.2e-222	0.984	0.878	0.834	UniRef:UniRef90_A0A3M8SY13
contig_4	cds	1513	2676	-	FGOHFL_021	526.0	3.7e-185	0.982	1.0	0.689	UniRef:UniRef90_UPI0009FBFECF
contig_5	cds	989	3058	-	FGOHFL_022	674.0	6.0e-234	0.994	1.021	0.520	UniRef:UniRef90_A0A7V9Q4T4
contig_6	cds	85	459	+	FGOHFL_023	240.0	1.9e-80	0.992	0.992	0.951	UniRef:UniRef90_A0A7W1VCP1
contig_6	cds	553	696	+	FGOHFL_024	80.5	2.4e-19	0.979	1.0	0.913	UniRef:UniRef90_A0A7W1VCR6
contig_6	cds	793	1278	+	FGOHFL_025	310.0	7.7e-107	1.0	1.0	0.963	UniRef:UniRef90_A0A7W1VCP0
contig_6	cds	1327	1542	+	FGOHFL_026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7W1FEM8
contig_6	cds	1614	4370	+	FGOHFL_027	1609.0	0.0	1.0	1.0	0.936	UniRef:UniRef90_A0A7W1VCT6
contig_6	cds	4386	4760	+	FGOHFL_028	245.0	2.0e-82	1.0	1.0	0.968	UniRef:UniRef90_A0A7W1IX67
contig_6	cds	4761	4934	-	FGOHFL_029	-	-	-	-	-	-
contig_6	cds	5075	6658	-	FGOHFL_030	840.0	5.6e-306	0.806	1.0	0.988	UniRef:UniRef90_A0A7W1IXW2
contig_6	cds	7060	7770	+	FGOHFL_031	437.0	7.9e-155	1.0	1.0	0.941	UniRef:UniRef90_A0A7W1VET2
contig_6	cds	7790	8479	+	FGOHFL_032	444.0	1.7e-157	1.0	1.0	0.956	UniRef:UniRef90_A0A7W1ZK24
contig_6	cds	8715	9386	+	FGOHFL_033	432.0	6.4e-153	1.0	0.907	0.960	UniRef:UniRef90_A0A7W1ZK43
contig_6	cds	9404	9661	+	FGOHFL_034	183.0	6.0e-59	1.0	1.0	0.965	UniRef:UniRef90_A0A7W1ZK36
contig_6	cds	9721	10233	+	FGOHFL_035	256.0	3.7e-85	0.912	0.951	0.761	UniRef:UniRef90_A0A7W1L9B8
contig_6	cds	10239	10739	+	FGOHFL_036	300.0	1.4e-102	1.0	0.949	0.922	UniRef:UniRef90_A0A7W1VEJ1
contig_6	cds	10828	11763	+	FGOHFL_037	578.0	5.9e-208	1.0	1.0	0.971	UniRef:UniRef90_A0A7W1ZKA2
contig_6	cds	11774	12244	+	FGOHFL_038	307.0	6.2e-106	1.0	1.0	0.936	UniRef:UniRef90_A0A7W1ZKN2
contig_6	cds	12281	13462	+	FGOHFL_039	480.0	6.6e-167	0.896	0.967	0.670	UniRef:UniRef90_A0A9E0VGB6
contig_6	cds	13886	14683	+	FGOHFL_040	520.0	1.8e-186	1.0	1.0	0.951	UniRef:UniRef90_A0A7W1ZK27
contig_6	cds	14763	15332	+	FGOHFL_041	250.0	2.5e-82	1.0	1.0	0.683	UniRef:UniRef90_A0A6J4NKP8
contig_6	cds	15335	15670	+	FGOHFL_042	165.0	4.2e-51	0.973	0.964	0.657	UniRef:UniRef90_A0A252CWI9
contig_6	cds	16130	16609	+	FGOHFL_043	306.0	3.1e-105	1.0	1.0	0.956	UniRef:UniRef90_A0A7W1ZK33
contig_6	cds	16693	17646	+	FGOHFL_044	580.0	2.3e-208	1.0	1.0	0.968	UniRef:UniRef90_A0A7W1ZK15
contig_6	cds	17789	18130	+	FGOHFL_045	-	-	-	-	-	-
contig_6	cds	18183	18617	+	FGOHFL_046	-	-	-	-	-	-
contig_6	cds	18752	19111	+	FGOHFL_047	122.0	1.1e-33	0.891	0.898	0.557	UniRef:UniRef90_A0A957WEC3
contig_7	cds	367	1089	-	FGOHFL_048	296.0	1.2e-98	0.979	0.979	0.685	UniRef:UniRef90_A0A1B2EMU4
contig_7	cds	1105	1533	-	FGOHFL_049	152.0	3.7e-45	0.915	1.0	0.692	UniRef:UniRef90_A0A6N6SS01
contig_7	cds	2403	3452	-	FGOHFL_050	535.0	1.2e-189	0.948	0.948	0.761	UniRef:UniRef90_A0A969IIE2
contig_7	cds	3507	4337	+	FGOHFL_051	321.0	1.8e-107	0.978	0.993	0.622	UniRef:UniRef90_A0A6N6SV92
contig_7	cds	4545	5417	+	FGOHFL_052	428.0	2.1e-149	0.983	0.986	0.758	UniRef:UniRef90_A0A363TYE7
contig_7	cds	5425	6090	+	FGOHFL_053	287.0	7.1e-96	0.964	0.951	0.690	UniRef:UniRef90_A0A6L5FF20
contig_7	cds	6087	7700	+	FGOHFL_054	731.0	2.5e-261	0.929	0.958	0.747	UniRef:UniRef90_A0A6L5FF51
contig_7	cds	7754	8800	+	FGOHFL_055	503.0	7.6e-177	0.980	0.974	0.710	UniRef:UniRef90_UPI000563881A
contig_7	cds	8902	9555	+	FGOHFL_056	247.0	4.4e-80	0.991	0.991	0.558	UniRef:UniRef90_A0A0N1FLA8
contig_7	cds	9706	9921	-	FGOHFL_057	-	-	-	-	-	-
contig_7	cds	9918	10205	-	FGOHFL_058	-	-	-	-	-	-
contig_7	cds	10556	11017	-	FGOHFL_059	142.0	1.1e-40	0.902	0.965	0.514	UniRef:UniRef90_A0A158BXE9
contig_7	cds	11072	11737	+	FGOHFL_060	258.0	1.4e-84	0.869	0.980	0.677	UniRef:UniRef90_A0A969LPT5
contig_7	cds	11737	12423	+	FGOHFL_061	389.0	9.8e-136	1.0	1.0	0.825	UniRef:UniRef90_A0A1W9IP79
contig_7	cds	12777	13850	-	FGOHFL_062	499.0	3.4e-175	0.983	1.006	0.704	UniRef:UniRef90_UPI001AECC939
contig_7	cds	14638	15813	+	FGOHFL_063	557.0	1.1e-196	0.972	0.934	0.721	UniRef:UniRef90_A0A2Z3IFQ9
contig_7	cds	16204	17127	-	FGOHFL_064	551.0	1.4e-197	1.0	1.0	0.866	UniRef:UniRef90_UPI0014825028
contig_7	cds	17329	17706	-	FGOHFL_065	-	-	-	-	-	-
contig_7	cds	17892	18095	-	FGOHFL_066	-	-	-	-	-	-
contig_7	cds	18291	18539	-	FGOHFL_067	-	-	-	-	-	-
contig_7	cds	19126	19458	+	FGOHFL_068	-	-	-	-	-	-
contig_7	cds	19419	19841	+	FGOHFL_069	-	-	-	-	-	-
contig_7	tRNA	19906	19982	-	FGOHFL_070	84.2	-	-	-	-	-
contig_7	cds	20176	20472	-	FGOHFL_071	-	-	-	-	-	-
contig_7	cds	20691	21650	-	FGOHFL_072	-	-	-	-	-	-
contig_7	cds	21634	22122	-	FGOHFL_073	239.0	8.0e-79	0.944	0.968	0.745	UniRef:UniRef90_UPI000B4A886D
contig_7	cds	22127	23293	-	FGOHFL_074	427.0	1.2e-145	0.961	0.956	0.552	UniRef:UniRef90_A0A0Q6Z3R5
contig_7	cds	23651	24994	+	FGOHFL_075	683.0	4.1e-245	0.966	0.982	0.752	UniRef:UniRef90_A0A1G8SB71
contig_7	cds	25059	26054	-	FGOHFL_076	478.0	5.7e-168	0.979	1.003	0.750	UniRef:UniRef90_A0A925TD62
contig_7	cds	26348	27877	+	FGOHFL_077	568.0	1.9e-197	1.004	0.988	0.599	UniRef:UniRef90_A0A7C2LT56
contig_8	cds	498	905	-	FGOHFL_078	-	-	-	-	-	-
contig_8	cds	908	1651	-	FGOHFL_079	318.0	1.2e-106	0.935	0.828	0.654	UniRef:UniRef90_UPI0021E701E7
contig_8	cds	1710	2264	-	FGOHFL_080	278.0	1.4e-93	1.0	1.0	0.734	UniRef:UniRef90_A0A7V8VMN9
contig_8	cds	2334	3005	-	FGOHFL_081	419.0	9.0e-148	1.0	0.996	0.910	UniRef:UniRef90_A0A2V5QAI0
contig_8	cds	3091	3264	+	FGOHFL_082	-	-	-	-	-	-
contig_8	cds	3307	3747	+	FGOHFL_083	245.0	1.1e-81	0.979	0.966	0.783	UniRef:UniRef90_A0A3B9LF64
contig_8	cds	3852	4814	-	FGOHFL_084	496.0	1.1e-174	0.991	0.873	0.760	UniRef:UniRef90_A0A7W1CUY5
