seqname,tax_id
SPA_MetaAn_17_l305_st954_e1868_se1_ID=119899_3,g__Sphingomicrobium
SPA_MetaAn_17_l306_st426_e1343_se1_ID=85415_2,g__Sphingomicrobium
SPA_MetaAn_17_l308_st1629_e2552_se-1_ID=40095_5,o__Vicinamibacterales
SPA_MetaAn_17_l311_st2880_e3812_se1_ID=155_3,f__Fen-336
SPA_MetaAn_1_l295_st397_e1281_se1_ID=5063_2,c__Bacteroidia
SPA_MetaAn_20_l304_st1244_e2155_se-1_ID=23402_3,g__Sphingomicrobium
SPA_MetaAn_20_l304_st169_e1080_se-1_ID=38754_2,g__Sphingomicrobium
SPA_MetaAn_20_l328_st102_e1085_se1_ID=19939_2,f__Xanthomonadaceae
SPA_MetaAn_23_l285_st12_e866_se-1_ID=135876_1,s__Sphingorhabdus
SPA_MetaAn_25_l314_st245_e1186_se-1_ID=93904_2,g__12-FULL-67-14b
SPA_MetaAn_28_l304_st35_e946_se-1_ID=104730_1,c__Gemmatimonadetes
SPA_MetaAn_28_l305_st282_e1196_se1_ID=140897_2,g__Sphingomicrobium
SPA_MetaAn_28_l307_st59_e979_se-1_ID=184901_2,p__Pseudomonadota
SPA_MetaAn_29_l286_st2499_e3356_se-1_ID=17789_3,c__Gammaproteobacteria
SPA_MetaAn_2_l298_st478_e1371_se1_ID=48120_2,o__Xanthomonadales
SPA_MetaAn_2_l299_st87_e983_se-1_ID=53282_2,g__Dokdonella
SPA_MetaAn_2_l299_st987_e1883_se1_ID=5434_2,g__Dokdonella
SPA_MetaAn_2_l331_st2841_e3833_se-1_ID=8100_4,g__Dokdonella
SPA_MetaAn_30_l294_st4575_e5456_se1_ID=4243_4,s__JACDDX01_sp013813145
SPA_MetaAn_30_l315_st941_e1885_se-1_ID=36976_3,k__Bacteria
SPA_MetaAn_31_l296_st1278_e2165_se1_ID=66015_2,k__Bacteria
SPA_MetaAn_3_l292_st78_e953_se-1_ID=123537_1,s__Hanamia_sp023251335
SPA_MetaAn_45_l305_st895_e1809_se1_ID=25891_2,f__Fen-336
SPA_MetaAn_47_l307_st2141_e3061_se-1_ID=8053_3,g__Sphingomicrobium
SPA_MetaAn_49_l289_st728_e1594_se1_ID=1160_2,s__Silvibacterium_sp013289875
SPA_MetaAn_4_l296_st1779_e2666_se1_ID=221_5,f__Chitinophagaceae
SPA_MetaAn_50_l279_st1066_e1902_se-1_ID=69806_4,o__Vicinamibacterales
SPA_MetaAn_50_l300_st2522_e3421_se1_ID=33556_4,g__JACCSI01
SPA_MetaAn_50_l323_st1092_e2060_se-1_ID=58644_2,f__UBA2999
SPA_MetaAn_53_l303_st2187_e3095_se-1_ID=3469_4,f__Sphingomonadaceae
SPA_MetaAn_53_l305_st44_e958_se-1_ID=21752_1,g__Sphingomicrobium
SPA_MetaAn_53_l306_st1851_e2768_se-1_ID=7003_3,g__Sphingomicrobium
SPA_MetaAn_53_l309_st775_e1701_se-1_ID=13354_2,g__Sphingomicrobium
SPA_MetaAn_53_l327_st1960_e2940_se-1_ID=8796_3,f__Xanthomonadaceae
SPA_MetaAn_54_l279_st191_e1027_se-1_ID=43151_2,o__Vicinamibacterales
SPA_MetaAn_54_l284_st87_e938_se1_ID=5582_2,g__Sphingomicrobium
SPA_MetaAn_56_l279_st1824_e2660_se-1_ID=3218_2,o__Vicinamibacterales
SPA_MetaAn_57_l284_st308_e1159_se-1_ID=35774_2,g__Sphingomicrobium
SPA_MetaAn_57_l297_st636_e1526_se-1_ID=27881_2,g__Sphingomicrobium
SPA_MetaAn_57_l305_st609_e1523_se1_ID=27400_2,g__Sphingomicrobium
SPA_MetaAn_57_l305_st660_e1574_se1_ID=27909_2,g__Sphingomicrobium
SPA_MetaAn_57_l305_st791_e1705_se1_ID=5070_3,g__Sphingomicrobium
SPA_MetaAn_57_l312_st3825_e4760_se1_ID=4196_6,g__Sphingomicrobium
SPA_MetaAn_58_l304_st320_e1231_se1_ID=18958_2,g__Sphingomicrobium
SPA_MetaAn_58_l304_st505_e1416_se1_ID=27654_2,g__Sphingomicrobium
SPA_MetaAn_58_l305_st274_e1188_se-1_ID=14462_2,g__Sphingomicrobium
SPA_MetaAn_58_l305_st867_e1781_se1_ID=4060_3,g__Sphingomicrobium
SPA_MetaAn_59_l291_st359_e1231_se1_ID=19413_2,g__BOG-234
SPA_MetaAn_59_l292_st316_e1191_se-1_ID=6001_1,g__Hanamia
SPA_MetaAn_5_l316_st292_e1239_se1_ID=84868_1,f__Chitinophagaceae
SPA_MetaAn_60_l298_st3888_e4781_se-1_ID=116_6,f__Xanthomonadaceae
SPA_MetaAn_61_l292_st6535_e7410_se-1_ID=3700_5,g__Acidoferrum
SPA_MetaAn_61_l302_st2155_e3060_se-1_ID=52238_3,g__Acidoferrum
SPA_MetaAn_61_l305_st24_e938_se-1_ID=284666_1,s__QHXW01_sp030041035
SPA_MetaAn_61_l310_st2095_e3024_se1_ID=27109_3,g__Bog-257
SPA_MetaAn_62_l291_st6588_e7460_se1_ID=4092_7,c__Bacteroidia
SPA_MetaAn_62_l292_st3287_e4162_se-1_ID=212_5,o__Bryobacterales
SPA_MetaAn_62_l295_st1883_e2767_se1_ID=331_2,f__Chitinophagaceae
SPA_MetaAn_62_l295_st1999_e2883_se1_ID=20697_5,g__Hanamia
SPA_MetaAn_62_l304_st254_e1165_se1_ID=33912_2,g__Sphingorhabdus
SPA_MetaAn_63_l301_st546_e1448_se-1_ID=24951_2,o__Rhodothermales
SPA_MetaAn_63_l301_st692_e1594_se-1_ID=44068_2,o__Rhodothermales
SPA_MetaAn_63_l305_st57_e971_se-1_ID=205371_1,f__Sphingomonadaceae
SPA_MetaAn_65_l290_st511_e1380_se-1_ID=109256_2,k__Bacteria
SPA_MetaAn_65_l301_st220_e1122_se-1_ID=108804_2,f__Sphingomonadaceae
SPA_MetaAn_65_l309_st7098_e8024_se-1_ID=3951_7,g__Sphingomicrobium
SPA_MetaAn_65_l314_st498_e1439_se-1_ID=119345_2,g__12-FULL-67-14b
SPA_MetaAn_67_l298_st2396_e3289_se1_ID=1301_3,c__Bacteroidia
SPA_MetaAn_68_l304_st12496_e13407_se1_ID=4114_16,g__Sphingomicrobium
SPA_MetaAn_68_l310_st1234_e2163_se-1_ID=46255_2,c__Alphaproteobacteria
SPA_MetaAn_68_l325_st238_e1212_se1_ID=20115_1,g__Gemmatimonas
SPA_MetaAn_69_l292_st2610_e3485_se-1_ID=7463_4,c__Terriglobia
SPA_MetaAn_69_l292_st6111_e6986_se1_ID=2210_7,f__Chitinophagaceae
SPA_MetaAn_69_l301_st11_e913_se-1_ID=149249_1,g__Palsa-360
SPA_MetaAn_6_l297_st748_e1638_se1_ID=25806_3,k__Bacteria
SPA_MetaAn_73_l291_st361_e1233_se1_ID=77215_2,f__Xanthomonadaceae
SPA_MetaAn_73_l305_st1122_e2036_se1_ID=55789_3,g__Sphingomicrobium
SPA_MetaAn_74_l290_st1282_e2151_se-1_ID=19921_4,s__JABFXX01_sp013368795
SPA_MetaAn_74_l296_st228_e1115_se1_ID=172172_1,f__Chitinophagaceae
SPA_MetaAn_77_l293_st1508_e2386_se-1_ID=11772_2,c__Bacteroidia
SPA_MetaAn_78_l292_st311_e1186_se1_ID=11351_1,c__Bacteroidia
SPA_MetaAn_78_l306_st435_e1352_se-1_ID=8220_2,g__Sphingomicrobium
SPA_MetaAn_7_l338_st8017_e9030_se-1_ID=2532_6,g__Dokdonella
SPA_MetaAn_82_l289_st242_e1108_se-1_ID=153429_2,c__Terriglobia
SPA_MetaAn_82_l309_st150_e1076_se-1_ID=156338_2,c__Gemmatimonadetes
SPA_MetaAn_82_l309_st3053_e3979_se-1_ID=17574_3,f__Xanthomonadaceae
SPA_MetaAn_83_l273_st1511_e2329_se-1_ID=18058_3,k__Bacteria
SPA_MetaAn_83_l299_st205_e1101_se-1_ID=65030_2,s__Hanamia_sp023251335
SPA_MetaAn_83_l299_st3278_e4174_se1_ID=11966_3,o__Xanthomonadales
SPA_MetaAn_83_l305_st11_e925_se-1_ID=174187_1,g__Palsa-360
SPA_MetaAn_83_l316_st79_e1026_se1_ID=27587_2,f__Chitinophagaceae
SPA_MetaAn_84_l307_st5846_e6766_se1_ID=1142_5,g__Lacunisphaera
SPA_MetaAn_84_l308_st7761_e8684_se-1_ID=385_9,k__Bacteria
SPA_MetaAn_8_l300_st3555_e4454_se1_ID=1806_7,g__Fen-1247
SPA_MetaAn_9_l289_st13990_e14856_se1_ID=572_13,o__Xanthomonadales
SPA_MetaAn_9_l292_st1439_e2314_se1_ID=37432_2,s__Hanamia_sp023251335
SSE-1,c__Alphaproteobacteria
