contig	qseqid	qstart	qend	sseqid	slen	Protein_Class	Protein_Cluster	Protein_Family
SRR5881985_contigs.fasta	NODE_63455_length_3138_cov_2.543626	1462	2433	14482245_len_325_MetaAn_31	325	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_641419_length_791_cov_1.614130	8	790	SPA_MetaAn_74_l303_st316_e1224_se1_ID=154258_1	303	A	A-II	Undefined
SRR5881985_contigs.fasta	NODE_73518_length_2877_cov_3.875620	1847	888	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_73518_length_2877_cov_3.875620	1844	900	26562918_len_325_MetaAn_74	325	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_831107_length_680_cov_5.123200	4	672	35772173_len_267_MetaAn_74	267	D	D-III	Undefined
SRR5881985_contigs.fasta	NODE_85415_length_2638_cov_3.020519	414	1334	3795181_len_310_MetaAn_58	310	B3	B3-V	Undefined
SRR5881985_contigs.fasta	NODE_85415_length_2638_cov_3.020519	426	1343	SPA_MetaAn_17_l306_st426_e1343_se1_ID=85415_2	306	B3	B3-V	Undefined
SRR5881985_contigs.fasta	NODE_95556_length_2471_cov_7.850993	1283	2230	46662723_len_317_MetaAn_17	317	A	A-I	Undefined
SRR5882551_contigs.fasta	NODE_56542_length_2018_cov_3.477331	638	1501	576430_len_310_MetaAn_18	310	D	D-III	Undefined
ERR4182668_contigs.fasta	NODE_13422_length_5725_cov_13.481834	1163	279	SPA_MetaAn_1_l295_st279_e1163_se-1_ID=13422_2	295	A	A-III	Undefined
ERR4182668_contigs.fasta	NODE_141397_length_1052_cov_1.544634	1038	136	SPA_MetaAn_1_l301_st136_e1038_se-1_ID=141397_2	301	A	A-III	Undefined
ERR4182668_contigs.fasta	NODE_22706_length_3968_cov_17.141068	3054	2245	SPA_MetaAn_1_l270_st2245_e3054_se-1_ID=22706_3	270	B1	B1-III	Undefined
ERR4182668_contigs.fasta	NODE_2894_length_14681_cov_3.609326	9299	8406	SPA_MetaAn_1_l298_st8406_e9299_se-1_ID=2894_10	298	A	A-II	Undefined
ERR4182668_contigs.fasta	NODE_3426_length_13437_cov_13.945823	7223	8110	25348855_len_297_MetaAn_1	297	A	A-IV	Undefined
ERR4182668_contigs.fasta	NODE_35628_length_2865_cov_1.976157	550	1335	SPA_MetaAn_75_l272_st221_e1036_se-1_ID=8364_2	272	A	A-VIII	Undefined
ERR4182668_contigs.fasta	NODE_35628_length_2865_cov_1.976157	502	1407	SPA_MetaAn_1_l302_st502_e1407_se1_ID=35628_3	302	A	A-IV	Undefined
ERR4182668_contigs.fasta	NODE_3932_length_12423_cov_5.864893	5079	5879	SPA_MetaAn_1_l267_st5079_e5879_se1_ID=3932_5	267	B1	B1-III	Undefined
ERR4182668_contigs.fasta	NODE_40052_length_2628_cov_4.285270	534	1424	5862689_len_310_MetaAn_66	310	A	A-II	Undefined
ERR4182668_contigs.fasta	NODE_40052_length_2628_cov_4.285270	549	1427	SPA_MetaAn_1_l293_st549_e1427_se1_ID=40052_2	293	A	A-II	Undefined
ERR4182668_contigs.fasta	NODE_4118_length_12110_cov_4.663625	2603	3421	SPA_MetaAn_1_l273_st2603_e3421_se1_ID=4118_2	273	B1	B1-III	Undefined
ERR4182668_contigs.fasta	NODE_5063_length_10788_cov_4.010528	409	1263	1864848_len_293_MetaAn_9	293	B3	B3-IV	Undefined
ERR4182668_contigs.fasta	NODE_5063_length_10788_cov_4.010528	430	1266	1390504_len_293_MetaAn_8	293	B3	B3-IV	Undefined
ERR4182668_contigs.fasta	NODE_5063_length_10788_cov_4.010528	394	1272	SPA_MetaAn_5_l316_st292_e1239_se1_ID=84868_1	316	B3	B3-IV	Undefined
ERR4182668_contigs.fasta	NODE_5063_length_10788_cov_4.010528	424	1275	SPA_MetaAn_62_l295_st1883_e2767_se1_ID=331_2	295	B3	B3-IV	Undefined
ERR4182668_contigs.fasta	NODE_5063_length_10788_cov_4.010528	397	1281	SPA_MetaAn_1_l295_st397_e1281_se1_ID=5063_2	295	B3	B3-IV	Undefined
ERR4182668_contigs.fasta	NODE_57481_length_2017_cov_1.974006	1964	1080	SPA_MetaAn_1_l295_st1080_e1964_se-1_ID=57481_3	295	A	A-II	Undefined
ERR4182668_contigs.fasta	NODE_9836_length_7075_cov_6.375214	738	1547	SPA_MetaAn_1_l270_st738_e1547_se1_ID=9836_2	270	B1	B1-III	Undefined
SRR5830676_contigs.fasta	NODE_19939_length_2647_cov_2.515818	102	1085	SPA_MetaAn_20_l328_st102_e1085_se1_ID=19939_2	328	B3	B3-V	Undefined
SRR5830676_contigs.fasta	NODE_23402_length_2402_cov_5.705582	2155	1244	SPA_MetaAn_20_l304_st1244_e2155_se-1_ID=23402_3	304	B3	B3-VI	Undefined
SRR5830676_contigs.fasta	NODE_23402_length_2402_cov_5.705582	2140	1253	SPA_MetaAn_57_l305_st660_e1574_se1_ID=27909_2	305	B3	B3-V	Undefined
SRR5830676_contigs.fasta	NODE_3109_length_7524_cov_11.551881	6736	5807	8367645_len_310_MetaAn_20	310	B3	B3-V	Undefined
SRR5830676_contigs.fasta	NODE_38754_length_1763_cov_2.109485	1080	169	SPA_MetaAn_20_l304_st169_e1080_se-1_ID=38754_2	304	B3	B3-V	Undefined
SRR5830676_contigs.fasta	NODE_9070_length_4246_cov_4.612264	1322	2221	SPA_MetaAn_20_l300_st1322_e2221_se1_ID=9070_2	300	A	A-IV	Undefined
SRR6266334_contigs.fasta	NODE_114314_length_979_cov_1.975108	3	632	36413597_len_242_MetaAn_74	242	B1	B1-I	Undefined
SRR6266334_contigs.fasta	NODE_12809_length_2496_cov_4.067595	2495	1884	12256580_len_245_MetaAn_43	245	B1	B1-I	Undefined
SRR6266334_contigs.fasta	NODE_13580_length_2432_cov_2.646193	1299	358	SPA_MetaAn_21_l314_st358_e1299_se-1_ID=13580_3	314	A	A-I	Undefined
SRR6266334_contigs.fasta	NODE_15479_length_2296_cov_4.116466	26	832	26562918_len_325_MetaAn_74	325	A	A-I	Undefined
SRR6266334_contigs.fasta	NODE_15479_length_2296_cov_4.116466	2	844	SPA_MetaAn_71_l318_st303_e1256_se1_ID=1970_2	318	A	A-I	Undefined
SRR6266334_contigs.fasta	NODE_156526_length_857_cov_1.415212	44	712	SPA_MetaAn_21_l223_st44_e712_se1_ID=156526_1	223	B1	B1-I	Undefined
SRR6266334_contigs.fasta	NODE_159_length_28336_cov_5.450903	14638	15813	SPA_MetaAn_21_l392_st14638_e15813_se1_ID=159_17	392	C	C-I	Undefined
SRR6266334_contigs.fasta	NODE_268608_length_683_cov_1.490446	682	83	2032954_len_245_MetaAn_43	245	B1	B1-I	Undefined
SRR6266334_contigs.fasta	NODE_27399_length_1791_cov_3.664171	122	1036	SPA_MetaAn_21_l305_st122_e1036_se1_ID=27399_2	305	A	A-II	Undefined
SRR6266334_contigs.fasta	NODE_51273_length_1374_cov_2.699773	1303	272	SPA_MetaAn_21_l344_st272_e1303_se-1_ID=51273_2	344	A	A-I	Undefined
SRR6266334_contigs.fasta	NODE_55920_length_1324_cov_6.983452	7	831	2379406_len_309_MetaAn_58	309	B3	B3-V	Undefined
SRR6266336_contigs.fasta	NODE_117357_length_892_cov_1.811231	96	887	SPA_MetaAn_68_l304_st12496_e13407_se1_ID=4114_16	304	B3	B3-VI	Undefined
SRR6266336_contigs.fasta	NODE_117357_length_892_cov_1.811231	93	890	1093953_len_310_MetaAn_58	310	B3	B3-V	Undefined
SRR6266336_contigs.fasta	NODE_33691_length_1527_cov_2.595788	1047	190	SPA_MetaAn_22_l286_st190_e1047_se-1_ID=33691_2	286	D	D-I	Undefined
SRR6266336_contigs.fasta	NODE_348_length_12063_cov_3.040473	2349	3170	SPA_MetaAn_22_l274_st2349_e3170_se1_ID=348_2	274	D	D-III	Undefined
SRR6266338_contigs.fasta	NODE_11371_length_5568_cov_4.142935	5133	4168	SPA_MetaAn_23_l322_st4168_e5133_se-1_ID=11371_6	322	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_123573_length_1169_cov_7.563734	1167	157	6784295_len_355_MetaAn_23	355	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_123573_length_1169_cov_7.563734	1062	175	9605961_len_304_MetaAn_74	304	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_13530_length_4915_cov_5.804527	669	1	8587538_len_247_MetaAn_23	247	B1	B1-I	Undefined
SRR6266338_contigs.fasta	NODE_135876_length_1104_cov_2.634890	866	12	SPA_MetaAn_23_l285_st12_e866_se-1_ID=135876_1	285	B3	B3-III	Undefined
SRR6266338_contigs.fasta	NODE_144945_length_1062_cov_4.121152	741	1	4247496_len_306_MetaAn_23	306	B3	B3-V	Undefined
SRR6266338_contigs.fasta	NODE_174034_length_953_cov_1.800668	951	103	14995492_len_305_MetaAn_23	305	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_174034_length_953_cov_1.800668	948	91	SPA_MetaAn_23_l322_st4168_e5133_se-1_ID=11371_6	322	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_17702_length_4080_cov_7.613416	1492	2205	SPA_MetaAn_75_l246_st952_e1689_se1_ID=978_2	246	B1	B1-I	Undefined
SRR6266338_contigs.fasta	NODE_17702_length_4080_cov_7.613416	1450	2223	SPA_MetaAn_23_l258_st1450_e2223_se1_ID=17702_3	258	B1	B1-I	Undefined
SRR6266338_contigs.fasta	NODE_195_length_43980_cov_8.641662	40107	39184	SPA_MetaAn_23_l308_st39184_e40107_se-1_ID=195_42	308	A	A-IV	Undefined
SRR6266338_contigs.fasta	NODE_38212_length_2412_cov_5.747560	1728	823	SPA_MetaAn_23_l302_st823_e1728_se-1_ID=38212_3	302	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_38212_length_2412_cov_5.747560	1671	832	SPA_MetaAn_17_l285_st714_e1568_se1_ID=173183_2	285	A	A-VII	Undefined
SRR6266338_contigs.fasta	NODE_49464_length_2042_cov_2.516356	645	1550	SPA_MetaAn_23_l302_st645_e1550_se1_ID=49464_2	302	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_5661_length_8950_cov_7.107251	1297	2181	19371791_len_295_MetaAn_23	295	A	A-II	Undefined
SRR6266338_contigs.fasta	NODE_93401_length_1382_cov_2.756594	1029	220	SPA_MetaAn_23_l270_st220_e1029_se-1_ID=93401_1	270	B1	B1-I	Undefined
SRR6266338_contigs.fasta	NODE_93401_length_1382_cov_2.756594	957	229	SPA_MetaAn_77_l246_st2646_e3383_se-1_ID=10894_3	246	B1	B1-I	Undefined
SRR6266338_contigs.fasta	NODE_93401_length_1382_cov_2.756594	909	232	SPA_MetaAn_78_l250_st139_e888_se-1_ID=10946_2	250	B1	B1-I	Undefined
SRR6266338_contigs.fasta	NODE_9346_length_6380_cov_4.608063	4435	5256	SPA_MetaAn_23_l274_st4435_e5256_se1_ID=9346_2	274	D	D-III	Undefined
SRR6266338_contigs.fasta	NODE_99861_length_1328_cov_5.770621	1287	373	4247496_len_306_MetaAn_23	306	B3	B3-V	Undefined
SRR6266341_contigs.fasta	NODE_22091_length_2015_cov_11.255102	220	1071	SPA_MetaAn_35_l284_st3317_e4168_se1_ID=3811_4	284	D	D-III	Undefined
SRR6266341_contigs.fasta	NODE_35039_length_1590_cov_4.063192	963	88	SPA_MetaAn_24_l292_st88_e963_se-1_ID=35039_1	292	D	D-III	Undefined
SRR6266341_contigs.fasta	NODE_9394_length_3100_cov_5.010837	2968	2003	SPA_MetaAn_24_l322_st2003_e2968_se-1_ID=9394_3	322	A	A-I	Undefined
SRR6266358_contigs.fasta	NODE_145764_length_969_cov_1.670678	156	962	6170116_len_285_MetaAn_57	285	B3	B3-III	Undefined
SRR6266358_contigs.fasta	NODE_181113_length_874_cov_1.868132	1	744	SPA_MetaAn_57_l284_st308_e1159_se-1_ID=35774_2	284	B3	B3-III	Undefined
SRR6266358_contigs.fasta	NODE_287_length_14544_cov_32.400097	13229	12336	1389175_len_299_MetaAn_25	299	D	D-I	Undefined
SRR6266358_contigs.fasta	NODE_57864_length_1497_cov_5.733703	1119	211	SPA_MetaAn_25_l303_st211_e1119_se-1_ID=57864_2	303	A	A-II	Undefined
SRR6266358_contigs.fasta	NODE_64187_length_1426_cov_7.385850	492	1424	SPA_MetaAn_71_l318_st303_e1256_se1_ID=1970_2	318	A	A-I	Undefined
SRR6266358_contigs.fasta	NODE_91841_length_1206_cov_1.767159	4	1002	SPA_MetaAn_74_l344_st43490_e44521_se-1_ID=222_34	344	A	A-I	Undefined
SRR6266358_contigs.fasta	NODE_93904_length_1193_cov_3.598418	1186	245	SPA_MetaAn_25_l314_st245_e1186_se-1_ID=93904_2	314	B3	B3-III	Undefined
SRR6266358_contigs.fasta	NODE_93904_length_1193_cov_3.598418	1189	257	16890034_len_312_MetaAn_17	312	B3	B3-III	Undefined
SRR6266357_contigs.fasta	NODE_112199_length_1008_cov_7.441763	1007	195	SPA_MetaAn_24_l292_st88_e963_se-1_ID=35039_1	292	D	D-III	Undefined
SRR6266357_contigs.fasta	NODE_112199_length_1008_cov_7.441763	995	273	12841857_len_260_MetaAn_24	260	D	D-III	Undefined
SRR6266357_contigs.fasta	NODE_137836_length_897_cov_2.967933	858	1	SPA_MetaAn_73_l320_st614_e1573_se1_ID=75642_2	320	A	A-II	Undefined
SRR6266357_contigs.fasta	NODE_15866_length_2998_cov_3.845736	2096	2950	50151731_len_310_MetaAn_17	310	D	D-III	Undefined
SRR6266357_contigs.fasta	NODE_15866_length_2998_cov_3.845736	2102	2956	15416833_len_286_MetaAn_26	286	D	D-III	Undefined
SRR6266357_contigs.fasta	NODE_1891_length_8919_cov_5.074571	8530	7661	15168060_len_291_MetaAn_26	291	D	D-I	Undefined
SRR6266357_contigs.fasta	NODE_42520_length_1740_cov_6.554303	311	1162	SPA_MetaAn_26_l284_st311_e1162_se1_ID=42520_2	284	D	D-III	Undefined
SRR6266357_contigs.fasta	NODE_57252_length_1475_cov_3.023944	314	1156	SPA_MetaAn_17_l285_st714_e1568_se1_ID=173183_2	285	A	A-VII	Undefined
SRR6266357_contigs.fasta	NODE_57252_length_1475_cov_3.023944	257	1165	SPA_MetaAn_26_l303_st257_e1165_se1_ID=57252_2	303	A	A-II	Undefined
SRR6266357_contigs.fasta	NODE_66992_length_1349_cov_3.641422	1117	266	SPA_MetaAn_26_l284_st266_e1117_se-1_ID=66992_2	284	D	D-III	Undefined
SRR6263248_contigs.fasta	NODE_104730_length_1763_cov_24.493560	946	35	SPA_MetaAn_28_l304_st35_e946_se-1_ID=104730_1	304	B3	B3-III	Undefined
SRR6263248_contigs.fasta	NODE_124965_length_1578_cov_25.815496	818	1576	SPA_MetaAn_28_l304_st35_e946_se-1_ID=104730_1	304	B3	B3-III	Undefined
SRR6263248_contigs.fasta	NODE_140897_length_1463_cov_5.503551	282	1196	SPA_MetaAn_28_l305_st282_e1196_se1_ID=140897_2	305	B3	B3-V	Undefined
SRR6263248_contigs.fasta	NODE_184901_length_1226_cov_3.867635	979	59	SPA_MetaAn_28_l307_st59_e979_se-1_ID=184901_2	307	B3	B3-V	Undefined
SRR6263248_contigs.fasta	NODE_195803_length_1180_cov_6.484444	282	1175	SPA_MetaAn_57_l305_st660_e1574_se1_ID=27909_2	305	B3	B3-V	Undefined
SRR6263248_contigs.fasta	NODE_195803_length_1180_cov_6.484444	276	1178	13972784_len_309_MetaAn_28	309	B3	B3-V	Undefined
SRR6263248_contigs.fasta	NODE_29641_length_3758_cov_9.377802	1020	97	SPA_MetaAn_28_l308_st97_e1020_se-1_ID=29641_1	308	A	A-V	Undefined
SRR6263248_contigs.fasta	NODE_42948_length_3028_cov_8.048436	228	1109	CAE-1	302	A	A-IV	CAE
SRR6263248_contigs.fasta	NODE_42948_length_3028_cov_8.048436	261	1121	SPA_MetaAn_28_l287_st261_e1121_se1_ID=42948_1	287	A	A-VI	Undefined
SRR6263248_contigs.fasta	NODE_53315_length_2662_cov_8.056770	900	1781	5066244_len_299_MetaAn_73	299	B3	B3-V	Undefined
SRR6263248_contigs.fasta	NODE_6216_length_9093_cov_10.172826	7089	7970	SPA_MetaAn_28_l294_st7089_e7970_se1_ID=6216_8	294	D	D-III	Undefined
SRR6263202_contigs.fasta	NODE_17789_length_3508_cov_13.491167	3356	2499	SPA_MetaAn_29_l286_st2499_e3356_se-1_ID=17789_3	286	B3	B3-I	Undefined
SRR6263202_contigs.fasta	NODE_17789_length_3508_cov_13.491167	3338	2517	2032487_len_282_MetaAn_63	282	B3	B3-I	Undefined
ERR4182669_contigs.fasta	NODE_1351_length_19027_cov_7.107105	11775	12572	SPA_MetaAn_2_l266_st11775_e12572_se1_ID=1351_14	266	D	D-III	Undefined
ERR4182669_contigs.fasta	NODE_150_length_45075_cov_9.942381	17964	18881	7551706_len_307_MetaAn_2	307	B3	B3-V	Undefined
ERR4182669_contigs.fasta	NODE_207809_length_819_cov_1.678010	686	3	SPA_MetaAn_23_l270_st220_e1029_se-1_ID=93401_1	270	B1	B1-I	Undefined
ERR4182669_contigs.fasta	NODE_208100_length_818_cov_2.179554	6	662	5975614_len_245_MetaAn_9	245	B1	B1-I	Undefined
ERR4182669_contigs.fasta	NODE_208100_length_818_cov_2.179554	3	671	1802778_len_247_MetaAn_68	247	B1	B1-I	Undefined
ERR4182669_contigs.fasta	NODE_2896_length_12482_cov_4.985596	11201	12370	SPA_MetaAn_2_l390_st11201_e12370_se1_ID=2896_12	390	C	C-I	Undefined
ERR4182669_contigs.fasta	NODE_29528_length_2770_cov_2.088766	2083	2766	11317061_len_282_MetaAn_63	282	B3	B3-I	Undefined
ERR4182669_contigs.fasta	NODE_29528_length_2770_cov_2.088766	2065	2769	SPA_MetaAn_29_l286_st2499_e3356_se-1_ID=17789_3	286	B3	B3-I	Undefined
ERR4182669_contigs.fasta	NODE_48120_length_2030_cov_4.770633	478	1371	SPA_MetaAn_2_l298_st478_e1371_se1_ID=48120_2	298	B3	B3-V	Undefined
ERR4182669_contigs.fasta	NODE_53282_length_1908_cov_2.925526	950	105	27873091_len_307_MetaAn_63	307	B3	B3-V	Undefined
ERR4182669_contigs.fasta	NODE_53282_length_1908_cov_2.925526	980	87	SPA_MetaAn_2_l299_st87_e983_se-1_ID=53282_2	299	B3	B3-V	Undefined
ERR4182669_contigs.fasta	NODE_533_length_28357_cov_21.384496	14779	15495	36413597_len_242_MetaAn_74	242	B1	B1-I	Undefined
ERR4182669_contigs.fasta	NODE_5434_length_8282_cov_5.791054	1002	1865	27873091_len_307_MetaAn_63	307	B3	B3-V	Undefined
ERR4182669_contigs.fasta	NODE_5434_length_8282_cov_5.791054	990	1883	SPA_MetaAn_2_l299_st987_e1883_se1_ID=5434_2	299	B3	B3-V	Undefined
ERR4182669_contigs.fasta	NODE_8100_length_6371_cov_3.514566	3833	2841	SPA_MetaAn_2_l331_st2841_e3833_se-1_ID=8100_4	331	B3	B3-V	Undefined
ERR4182669_contigs.fasta	NODE_8100_length_6371_cov_3.514566	3755	2850	30337254_len_307_MetaAn_63	307	B3	B3-V	Undefined
SRR6263206_contigs.fasta	NODE_105460_length_1522_cov_1.961145	732	1520	14679019_len_277_MetaAn_73	277	D	D-III	Undefined
SRR6263206_contigs.fasta	NODE_10660_length_5109_cov_4.400673	3400	4296	22060248_len_300_MetaAn_30	300	D	D-III	Undefined
SRR6263206_contigs.fasta	NODE_110398_length_1485_cov_1.618182	263	1150	SPA_MetaAn_17_l296_st2112_e2999_se1_ID=43852_3	296	A	A-IV	Undefined
SRR6263206_contigs.fasta	NODE_142871_length_1290_cov_3.271255	264	1175	SPA_MetaAn_30_l304_st264_e1175_se1_ID=142871_2	304	A	A-II	Undefined
SRR6263206_contigs.fasta	NODE_321935_length_816_cov_1.725361	75	812	19072192_len_285_MetaAn_30	285	D	D-III	Undefined
