# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_6	cds	14763	15332	+	FGOHFL_041		DJ-1/PfpI family protein	SO:0001217, UniRef:UniRef50_A0A7W1W947
contig_6	cds	15335	15670	+	FGOHFL_042		Mannose-6-phosphate isomerase	SO:0001217, UniRef:UniRef50_G7W6P8
contig_6	cds	16130	16609	+	FGOHFL_043		Carboxymuconolactone decarboxylase family protein	SO:0001217, UniRef:UniRef50_L7U2S6, UniRef:UniRef90_A0A7W1ZK33
contig_6	cds	16693	17646	+	FGOHFL_044		NAD(P)-dependent oxidoreductase	SO:0001217, UniRef:UniRef50_A0A7W1ZK15, UniRef:UniRef90_A0A7W1ZK15
contig_6	cds	17789	18130	+	FGOHFL_045		hypothetical protein	
contig_6	cds	18183	18617	+	FGOHFL_046		(pseudo) IS982 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A5J4R885, UniRef:UniRef90_A0A7W1FCC0
contig_6	cds	18752	19111	+	FGOHFL_047		Nuclear transport factor 2 family protein	SO:0001217, UniRef:UniRef50_A0A957WEC3
contig_7	cds	367	1089	-	FGOHFL_048	dsbD	Thiol:disulfide interchange protein DsbD	SO:0001217, UniRef:UniRef50_A0A0D6IRW9
contig_7	cds	1105	1533	-	FGOHFL_049		Thioredoxin	SO:0001217, UniRef:UniRef50_A0A095WKV3
contig_7	cds	2403	3452	-	FGOHFL_050		Radical SAM domain protein	SO:0001217, UniRef:UniRef50_B8INN5
contig_7	cds	3507	4337	+	FGOHFL_051		SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_A0A431N1H6
contig_7	cds	4545	5417	+	FGOHFL_052		Selenate ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_U5T1K3
contig_7	cds	5425	6090	+	FGOHFL_053		ATP-binding cassette domain-containing protein	SO:0001217, UniRef:UniRef50_A0A4Q9G9P1
contig_7	cds	6087	7700	+	FGOHFL_054		ABC transporter permease	SO:0001217, UniRef:UniRef50_S2KJH0
contig_7	cds	7754	8800	+	FGOHFL_055		Selenide, water dikinase	SO:0001217, UniRef:UniRef50_Q931D0
contig_7	cds	8902	9555	+	FGOHFL_056	doxX	DoxX family protein	SO:0001217, UniRef:UniRef50_B8IFF3
contig_7	cds	9706	9921	-	FGOHFL_057		hypothetical protein	
contig_7	cds	9918	10205	-	FGOHFL_058		hypothetical protein	
contig_7	cds	10556	11017	-	FGOHFL_059		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0D7NXY2
contig_7	cds	11072	11737	+	FGOHFL_060		HTH tetR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8J3E5K7
contig_7	cds	11737	12423	+	FGOHFL_061	yfcG	Disulfide-bond oxidoreductase YfcG	SO:0001217, UniRef:UniRef50_A0A916ABH3
contig_7	cds	12777	13850	-	FGOHFL_062		CubicO group peptidase, beta-lactamase class C family	SO:0001217, UniRef:UniRef50_A0A1M6SC95
contig_7	cds	14638	15813	+	FGOHFL_063	ampC	class C beta-lactamase	NCBIFam:NF033085.1
contig_7	cds	16204	17127	-	FGOHFL_064		Methionyl-tRNA formyltransferase	SO:0001217, UniRef:UniRef50_A0A523U437
contig_7	cds	17329	17706	-	FGOHFL_065		hypothetical protein	
contig_7	cds	17892	18095	-	FGOHFL_066		hypothetical protein	PFAM:PF02796.19, PFAM:PF09339.14
contig_7	cds	18291	18539	-	FGOHFL_067		hypothetical protein	
contig_7	cds	19126	19458	+	FGOHFL_068		hypothetical protein	
contig_7	cds	19419	19841	+	FGOHFL_069		hypothetical protein	
contig_7	tRNA	19906	19982	-	FGOHFL_070	trnP	tRNA-Pro(tgg)	SO:0000268
contig_7	cds	20176	20472	-	FGOHFL_071		hypothetical protein	
contig_7	cds	20691	21650	-	FGOHFL_072		hypothetical protein	PFAM:PF02522.18
contig_7	cds	21634	22122	-	FGOHFL_073		Acetyltransferase	SO:0001217, UniRef:UniRef50_A0A1W6ZYD7
contig_7	cds	22127	23293	-	FGOHFL_074		D-glucuronyl C5-epimerase C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2U3PXQ6
contig_7	cds	23651	24994	+	FGOHFL_075	yliI	Soluble aldose sugar dehydrogenase YliI	SO:0001217, UniRef:UniRef50_A0A5P9PXD1
contig_7	cds	25059	26054	-	FGOHFL_076		NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	SO:0001217, UniRef:UniRef50_L0KUQ6
contig_7	cds	26348	27877	+	FGOHFL_077		Peptidase S10	SO:0001217, UniRef:UniRef50_A0A8I1G7X1
contig_8	cds	498	905	-	FGOHFL_078		hypothetical protein	
contig_8	cds	908	1651	-	FGOHFL_079	bla	subclass B2 metallo-beta-lactamase	NCBIFam:NF033087.1, SO:0001217, UniRef:UniRef50_A0A2K4MI30
contig_8	cds	1710	2264	-	FGOHFL_080		DUF2911 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2A2Q610
contig_8	cds	2334	3005	-	FGOHFL_081	pqqC	Pyrroloquinoline quinone biosynthesis protein PqqC	EC:1.3.3.11, KEGG:K06137, SO:0001217, UniRef:UniRef50_S0EZE9, UniRef:UniRef90_A0A2V5QAI0
contig_8	cds	3091	3264	+	FGOHFL_082		hypothetical protein	
contig_8	cds	3307	3747	+	FGOHFL_083		Transposase IS200-like domain-containing protein	SO:0001217, UniRef:UniRef50_B4D8X0
contig_8	cds	3852	4814	-	FGOHFL_084		hypothetical protein	
